study_site,session,assay_id,temp,quoll_code,assay_number,arena,obs_id,section_1_o,section_2_o,section_3_o,section_4_o,section_1_d,section_2_d,section_3_d,section_4_d,moon_phase,condition,body_weight_kg,age_estimate,pes_mean_mm,head_length_mm,sex,morph,cond_n,age_n,time_processtoassay,time_assaytolight,foodo_p,foodd_p,groomo_p,groomd_p,jumpo_p,jumpd_p,legsd_p,legso_p,moved_p,moveo_p,perchd_p,percho_p,bait_p,sumsecto_p,totalacto_p,trapstress_p,bagstress_p,tablestress_p,emerge_p,i_foodd_p,s_foodd_p,i_foodo_p,s_foodo_p,i_groomd_p,s_groomd_p,i_groomo_p,s_groomo_p,i_jumpd_p,s_jumpd_p,i_jumpo_p,s_jumpo_p,i_legsd_p,s_legsd_p,i_legso_p,s_legso_p,i_moved_p,s_moved_p,i_moveo_p,s_moveo_p,i_perchd_p,s_perchd_p,i_percho_p,s_percho_p,i_bait_p,s_bait_p,i_sumsecto_p,s_sumsecto_p,i_totalacto_p,s_totalacto_p,i_trapstress_p,s_trapstress_p,i_bagstress_p,s_bagstress_p,i_tablestress_p,s_tablestress_p,i_emerge_p,s_emerge_p
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_19,1.3329245427214864,525C8,1,Aquollpolis,MulligansA_19_525C8,5,6,6,4,831.516,238.914,60.874,68.676,0.9894494864428813,Fair,0.59,<1 year,48.650000000000006,74.8,M,Fawn,2,0,1.1834481421221756,-1.1024279027029333,22.282184390955805,32.491297718443576,1.2755884125202306,22.178427261856008,71.96458752292219,188.97233922482454,118.58397819854504,78.41171010447084,101.0771414105286,116.8988586617289,140.55160061895364,22.415169238084268,7.445508611382041,56.55362636856886,313.24809833068235,0.9999999999999992,1.0132023048833643,0.9471002321112951,2.4258348905047207,32.4912977184436,56.9078006419941,22.2821843909558,-2.16493794356428,22.178427261856,-8.1100040845749,1.27558841252023,-0.59742357151686,188.972339224824,-79.7301842494224,71.9645875229222,-26.2391818574894,118.583978198545,44.5751908249467,78.4117101044708,-0.483190268726416,101.077141410529,5.90717489844773,116.898858661729,-5.48931419406011,140.551600618954,-36.1079448246501,22.4151692380843,-4.42077908139371,7.44550861138204,8.10322596887202,56.5536263685688,-3.63397766982317,313.248098330682,-39.3948269167508,0.999999999999999,-4.71027737605132e-16,1.01320230488336,0.150567491872446,0.947100232111295,0.145426231584789,2.42583489050472,33.1832645619144
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_20,1.3329245427214864,88B4C,1,Quollosseum,MulligansA_20_88B4C,6,12,16,10,109.354,112.588,157.264,820.751,0.9894494864428813,Good,1.13,1–2 years,55.7,88.7,F,Black,3,1,1.3140288330349525,-1.3448372717693826,22.920176091576423,29.346236036341182,1.3350386909325396,23.067088580077442,73.01923931469928,195.16468207426584,118.41170201965866,81.32461194568995,106.57733130169187,120.9337895401719,129.42793976475735,22.12893148429193,6.731921517360484,56.88376980910839,321.6617870673621,0.9999999999999992,1.0132023048833643,0.9471002321112951,0.8487065521437795,29.3462360363412,41.4529745631409,22.9201760915764,-14.3725536256693,23.0670885800774,-9.29286303274094,1.33503869093254,-0.565015442819813,195.164682074266,-139.264360290499,73.0192393146993,-45.5255062173228,118.411702019659,16.9472535552401,81.32461194569,-43.5151544996288,106.577331301692,-62.338538178403,120.933789540172,-63.3388951180502,129.427939764757,1.36113478874681,22.1289314842919,-6.63358916307017,6.73192151736048,8.09020673503319,56.8837698091084,-20.3973727244054,321.661787067362,-173.950714066561,0.999999999999999,-4.71027737605132e-16,1.01320230488336,0.150567491872446,0.947100232111295,0.145426231584789,0.848706552143778,46.3244317639212
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_5,1.3329245427214864,84B2F,1,Quollympia,MulligansA_5_84B2F,19,37,38,20,326.461,162.883,386.042,324.501,0.9894494864428813,Excellent,0.91,1–2 years,54.900000000000006,81.4,F,Black,4,1,-0.41298866914065246,1.0294369258155762,20.327499320300262,73.2761024678176,0.6116109378309985,12.939964576333006,68.36521330022093,145.72111570601496,131.8476407960009,64.25481018537388,68.9886656967882,96.56481376735157,246.85898449744232,26.459108248725773,15.260448102362826,59.84431346029735,276.5830557598034,0.9999999999999992,1.0132023048833643,0.9471002321112951,14.274064675496147,73.2761024678176,-13.1461957974277,20.3274993203003,-6.25831564375887,12.939964576333,5.06332970710892,0.611610937830998,0.4169246997352,145.721115706015,-49.1284243670283,68.3652133002209,-31.9394829447374,131.847640796001,8.78709446421061,64.2548101853739,-4.0153794735823,68.9886656967882,14.7564196438655,96.5648137673515,-8.28475744953293,246.858984497442,-173.965538260211,26.4591082487258,-11.7583802257931,15.2604481023628,-3.62353788891641,59.8443134602973,-18.2148373253154,276.583055759803,-61.8393910376692,0.999999999999999,-4.71027737605132e-16,1.01320230488336,0.150567491872446,0.947100232111295,0.145426231584789,14.2740646754961,22.9774895687432
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_6,1.3329245427214864,61888,1,Aquollpolis,MulligansA_6_61888,11,21,23,12,667.75,141.699,240.218,148.468,0.9894494864428813,Excellent,1.09,2–3 years,56.2,87.9,F,Black,4,2,-0.6684726296221719,1.0062333262990801,22.57534486024898,80.82566659876386,0.5328819487735291,12.17382424555849,71.86090464616957,153.01704607829387,138.85813936048078,71.38835548619528,79.25414145872287,106.01311076662284,250.8665525967933,27.344805514037322,16.112825899495782,63.58070794485633,299.7154032220476,0.9999999999999992,1.0132023048833643,0.9471002321112951,12.913836243186093,80.8256665987638,-19.1695049216742,22.575344860249,-9.98977770061498,12.1738242455585,4.97355470714543,0.532881948773529,0.446928987502941,153.017046078294,-66.3133145631147,71.8609046461695,-37.8193157017121,138.858139360481,-0.189083774507272,71.3883554861953,-16.9505691619797,79.2541414587228,-5.46846225153969,106.013110766623,-25.6349313948779,250.866552596793,-165.52519961849,27.3448055140373,-12.5668627900337,16.1128258994958,-3.86229918445365,63.5807079448563,-23.5183020787608,299.715403222048,-102.514527761715,0.999999999999999,-4.71027737605132e-16,1.01320230488336,0.150567491872446,0.947100232111295,0.145426231584789,12.9138362431861,26.7016475058663
Mulligans Flat,MFBehavAssaysSUMA,MulligansA_7,1.3329245427214864,5597A,1,Aquollpolis,MulligansA_7_5597A,3,4,8,6,325.318,29.116,64.912,780.634,0.9894494864428813,Good,0.33,<1 year,43.9,77.3,F,Black,3,0,-0.3107950849480447,0.5836548315751349,22.626347344789092,71.53340997210617,0.6774843649140107,14.136038801548816,72.0520615633487,160.55896126566566,135.1478485729183,73.1398769033573,84.11629027627897,108.64944570354822,229.01386610941805,26.402727320618048,14.422092265910875,62.358411544430304,303.5479432005754,0.9999999999999992,1.0132023048833643,0.9471002321112951,10.75133508634583,71.5334099721061,22.6119705738016,22.6263473447891,1.68715384680542,14.1360388015488,2.05020711410568,0.67748436491401,0.10760354689809,160.558961265666,-31.2020945475881,72.0520615633487,-21.9925814645025,135.147848572918,34.1522540903198,73.1398769033573,22.2786533510239,84.116290276279,53.4917117122969,108.649445703548,26.4878088568629,229.013866109418,-169.417289499406,26.402727320618,-8.82816737701552,14.4220922659109,0.75067726922219,62.3584115444303,-4.53750222515441,303.547943200575,19.7404707600726,0.999999999999999,-6.2803698347351e-16,1.01320230488336,0.173602495031548,0.947100232111295,0.159168671031956,10.7513350863458,22.3436263539402
