"FID_","AREA","PERIMETER","WOOD05B_CL","WOOD05B__1","POLY_ID_NO","STRUCTURE","COMMUNITY","END_COMMUN"
,211119.64,2003.34,338.00,336.00,"WG217","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,435269.87,5406.42,342.00,340.00,"WG63A","2o Grassland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,203753.07,2680.20,344.00,341.00,"WG63","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,69663.21,1159.18,345.00,342.00,"GO71A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,64062.54,1084.70,347.00,344.00,"MF35","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,248871.85,2210.70,349.00,346.00,"GO72A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,515754.67,3706.13,356.00,353.00,"WG76","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,225663.59,2129.31,369.00,366.00,"WG152","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,31759.31,851.69,371.00,368.00,"WG216A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,42470.20,905.44,372.00,369.00,"WG77","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,3837.09,242.53,373.00,370.00,"WG216A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,73147.17,1597.24,381.00,378.00,"GO73B","2o Grassland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,69357.37,1319.96,385.00,382.00,"GO73A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,99293.06,1592.87,388.00,385.00,"WG78","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,103280.50,1267.43,395.00,392.00,"WG103","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,142330.51,1523.82,398.00,395.00,"WG81","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,367616.59,2702.05,406.00,403.00,"WG150B","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
