"","assay_date","study_site","session","assay_id","temp","quoll_code","initial_repeat_assay","assay_number","trap_location","arena","snout_in_arena","haunches_in_arena","time_to_emerge_s","arena_entry","arena_entry_01","remaining_bait_g","bait_eaten_g","id","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d","sumsect_o","totalact_o","sex","morph","process_start","process_end","stress_in_trap","stress_in_bag","stress_on_table","condition","body_weight_kg","age_estimate","pes_l_mm","pes_r_mm","head_length_mm","processing_time_min","moon_phase","start_time","finish_time","first_light","time_processtoassay","time_assaytolight"
"22",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_3",1.05075371871075,"53526",NA,1,"W7","Quollosseum",2024-01-25 00:26:09,"2024-01-25 00:26:09",0,"E","0",21,39,"MulligansA_3_53526",14,3,27,40,54,5,0,3,5,6,4,80.438,41.999,42.313,102.339,46.591,170.237,0,177.517,60.796,201.714,759.477,18,143,"F","Black","2024-01-25 22:14:00",2024-01-25 22:23:06,"1. Quiet","1. Quiet","2. Fiesty","Good",0.89,"1-2yrs",55.9,56.2,89.7,"6.3194444444444444E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1316.95,-1.07047673860426
"23",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_5",1.05075371871075,"84B2F",NA,1,"W57","Quollympia",2024-01-25 00:32:27,"2024-01-25 00:32:27",0,"E","0",58,2,"MulligansA_5_84B2F",26,0,158,107,169,59,0,19,37,38,20,15.239,0,297.937,228.685,144.252,263.361,0,326.461,162.883,386.042,324.501,114,519,"F","Black","2024-01-25 22:53:00",2024-01-25 22:55:39,"1. Quiet","1. Quiet","1. Quiet","Excellent",0.91,"1-2yrs",54.6,55.2,81.4,"1.8402777777777777E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1343.2,-1.06510457644828
"24",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_6",1.05075371871075,"61888","Initial assay",1,"W62","Aquollpolis",2024-01-25 00:35:17,"2024-01-25 00:35:17",0,"E","0",59,1,"MulligansA_6_61888",18,2,81,75,116,11,0,11,21,23,12,10.36,63,71.91,114.997,97.842,86.956,0,667.75,141.699,240.218,148.468,67,303,"F","Black","2024-01-25 23:12:00",2024-01-25 23:14:14,"1. Quiet","1. Quiet","1. Quiet","Excellent",1.09,"2-3yrs",55.5,56.9,87.9,"1.5509259259259259E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1358.95,-1.062688524685
"25",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_7",1.05075371871075,"5597A","Initial assay",1,"W19","Aquollpolis",2024-01-25 01:26:53,"2024-01-25 01:26:53",0,"E","0",48,12,"MulligansA_7_5597A",9,0,40,51,83,8,0,3,4,8,6,6.68,0,89.717,85.018,68.788,507.394,0,325.318,29.116,64.912,780.634,21,191,"F","Black","2024-01-25 23:35:00",2024-01-25 23:43:47,"1. Quiet","1. Quiet","1. Quiet","Good",0.33,"<1yr",44,43.8,77.3,"6.099537037037037E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1336.9,-1.01868795845503
"26",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_8",1.05075371871075,"53512",NA,1,"W63","Quollosseum",2024-01-25 01:31:48,"2024-01-25 01:31:48",0,"P","1",59,1,"MulligansA_8_53512",31,0,64,43,112,25,0,15,31,27,11,118.786,0,179.776,43.891,129.8,609.229,0,360.065,181.289,225.693,432.87,84,275,"F","Black","2024-01-25 23:24:00",2024-01-25 23:27:11,"1. Quiet","1. Quiet","1. Quiet","Good",0.92,"1-2yrs",54.6,53.4,86.8,"2.2106481481481482E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1315.38333333333,-1.01449539804229
"27",2024-02-20,"MFWS","MFBehavAssaysSUMB","MulligansB_1",-0.502967419856805,"563A6","Initial assay",1,"W71","Quollosseum",2024-02-20 23:31:39,"2024-02-20 23:31:42",2.99999999999088,"E","0",54,6,"MulligansB_1_563A6",20,7,2,10,38,0,0,1,2,2,1,35.12,21.4,15.64,53.559,34,0,0,48.479,21.678,190.358,939.48,6,77,"F","Black","2024-02-20 22:15:00",2024-02-20 22:17:40,"1. Quiet","1. Quiet","1. Quiet","Excellent",0.575,"1-2yrs",51.2,51.3,80.6,"1.8518518518518519E-3",0.201543840916669,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,73.9833333333333,0.086243573236079
"28",2024-02-21,"MFWS","MFBehavAssaysSUMB","MulligansB_14",-0.502967419856805,"56EB2","Initial assay",1,"W62","Quollympia",2024-02-21 03:22:44,"2024-02-21 03:22:48",3.99999999999983,"E","0",51,9,"MulligansB_14_56EB2",15,1,58,64,99,34,0,17,29,18,5,191.119,50.36,229.561,140.474,72.825,330.293,0,483.263,484.171,168.263,64.235,69,271,"F","Black","2024-02-21 00:15:00",2024-02-21 00:23:03,"1. Quiet","1. Quiet","1. Quiet","Good",0.55,"1-2yrs",51.2,52,80.8,"5.5902777777777773E-3",0.201543840916669,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,179.683333333333,0.283293912634854
"29",2024-02-21,"MFWS","MFBehavAssaysSUMB","MulligansB_15",-0.502967419856805,"86E19",NA,1,"W63","Aquollpolis",2024-02-21 03:25:15,"2024-02-21 03:25:33",18.0000000000004,"E","0",47,13,"MulligansB_15_86E19",13,3,33,92,107,7,0,12,19,17,9,79.039,76.96,230.594,243.158,91.896,115.877,0,544.828,298.181,198.744,158.191,57,255,"F","Black","2024-02-20 23:36:00",2024-02-20 23:48:50,"1. Quiet","1. Quiet","1. Quiet","Good",0.65,"1-2yrs",50.8,50.8,79.5,"8.9120370370370378E-3",0.201543840916669,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,216.416666666667,0.285439935083409
"30",2024-02-20,"MFWS","MFBehavAssaysSUMB","MulligansB_2",-0.502967419856805,"53511",NA,1,"W71","Quollympia",2024-02-20 23:34:14,"2024-02-20 23:34:32",18.0000000000028,"E","0",60,0,"MulligansB_2_53511",13,5,21,28,53,8,0,1,3,7,5,4.48,107.92,87.552,91.073,33.075,270.837,0,82.519,192.917,296.233,628.316,16,128,"F","Black","2024-02-20 22:22:00",2024-02-20 22:25:05,"1. Quiet","2. Fiesty","2. Fiesty","Good",1.12,"2-3yrs",55.1,53.7,88.2,"2.1412037037037038E-3",0.201543840916669,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,69.15,0.0884464439614169
"31",2024-02-21,"MFWS","MFBehavAssaysSUMB","MulligansB_20",-0.891397704498694,"56ABE",NA,1,"W22","Quollympia",2024-02-21 05:13:35,"2024-02-21 05:14:16",41,"E","0",50,10,"MulligansB_20_56ABE",18,1,4,56,90,0,0,5,8,9,5,75.72,50.4,17,141.46,100.38,0,0,725.276,71.112,178.111,225.475,27,169,"M","Fawn","2024-02-21 02:14:00",2024-02-21 02:19:35,"1. Quiet","1. Quiet","1. Quiet","Good",0.93,"1-2yrs",51.3,52.4,85.8,"3.8773148148148148E-3",0.201543840916669,1899-12-31 21:30:00,1899-12-31 04:00:00,2024-02-21 06:15:00,174,0.377818384855645
