"","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d"
"food_d",0.445287044049335,0.00997226979575981,0.170810139746883,0.258082309468676,0.37745054572657,0.336971639507803,-0.0829159685147107,0.450264539297498,0.485961194655076,0.455048340449137,0.398008423034372,1,0.00338685835530136,0.124577761375063,-0.0389730617703526,0.183039155844429,0.0527736657886068,-0.0829159685147107,-0.0700695108693582,-0.00863261179097063,0.0944788021073634,0.0280207702669393
"grooming_d",-0.0574371777768726,0.787797400067549,0.0929012362893426,0.00296693145965804,0.0440445638363346,0.0959243461447154,-0.0739167123002436,0.0829310892070783,0.103057835228076,0.0916979988872201,0.0605871564316879,0.00338685835530136,1,0.00260335987297794,-0.241593850750328,-0.0222166743454685,0.0161759242860038,-0.0739167123002436,0.0414965750669106,0.0956660838625476,-0.0299204797167733,-0.099199101635532
"jump_climb_d",0.337330373500557,-0.0147322596675547,0.843118885192272,0.670663303459891,0.628269015648574,0.744386982205162,-0.152226856574429,0.630108150632663,0.661951429217245,0.665161865705028,0.645865183999685,0.124577761375063,0.00260335987297794,1,-0.052192144708213,0.461906111590741,0.272827943958742,-0.152226856574429,-0.221469942533394,0.223805719779804,0.138294506244247,-0.00557091723728098
"legs_d",0.199457784657439,-0.29173661205241,-0.0961168990147732,0.371979582010095,0.207028928793675,-0.16640640763478,-0.0378089779622843,0.0829738150686398,0.0958901590820245,0.0804271963902806,0.0575789290954756,-0.0389730617703526,-0.241593850750328,-0.052192144708213,1,0.25727214520751,-0.330701922669972,-0.0378089779622843,-0.298755317287212,0.320135719293508,0.0411899921565569,0.0632108380136306
"moving_d",0.571995323103216,-0.0643741562682904,0.488290159429821,0.820920293215308,0.861769311436818,0.274661581214794,-0.042336501067271,0.662539991078801,0.693361203039983,0.72485897699317,0.698925200451076,0.183039155844429,-0.0222166743454685,0.461906111590741,0.25727214520751,1,-0.0525010649474891,-0.042336501067271,-0.187546414417428,0.0278894009440079,0.104250176704548,0.122817662357267
"perch_d",-0.0905902824658852,-0.0521030207207776,0.304580156835657,-0.0300193513271918,-0.00458656924319006,0.396597926548873,-0.0910819674952967,0.130166680471852,0.12495657160401,0.128585169385222,0.12815855993231,0.0527736657886068,0.0161759242860038,0.272827943958742,-0.330701922669972,-0.0525010649474891,1,-0.0910819674952967,0.011974567730759,-0.095276430281041,0.285909301943861,-0.106531209302622
"resting_d",-0.151555653242108,-0.0749335756482496,-0.142769231712273,-0.148070976794972,-0.16575681277051,-0.111894177695046,1,-0.152494297016693,-0.159742680796577,-0.15171750472755,-0.14978423488965,-0.0829159685147107,-0.0739167123002436,-0.152226856574429,-0.0378089779622843,-0.042336501067271,-0.0910819674952967,1,0.160148074377467,-0.0964324509856221,0.0917283686007148,-0.15507575306631
"section_1_d",-0.128146366423056,-0.0692959761326436,-0.146352721376609,-0.230298277158279,-0.206796610356045,-0.133203464732671,0.160148074377467,-0.020055380724704,-0.156556013643929,-0.288895474334462,-0.300652123728711,-0.0700695108693582,0.0414965750669106,-0.221469942533394,-0.298755317287212,-0.187546414417428,0.011974567730759,0.160148074377467,1,-0.276329117039048,-0.386890033728784,-0.659681839993235
"section_2_d",0.0607046786315959,0.0349126477766219,0.133490094405138,0.153065960037317,0.142876608650147,0.108820353875825,-0.0964324509856221,0.194015026234125,0.238686829971673,0.191814372245939,0.130363017533078,-0.00863261179097063,0.0956660838625476,0.223805719779804,0.320135719293508,0.0278894009440079,-0.095276430281041,-0.0964324509856221,-0.276329117039048,1,-0.15946415931233,-0.35202776804012
"section_3_d",0.20599578455458,-0.0221283038361185,0.10330290399569,0.105839055391691,0.115482262786899,0.152004905090464,0.0917283686007148,0.0385598552734293,0.104297231364693,0.211025807441852,0.222076821557346,0.0944788021073634,-0.0299204797167733,0.138294506244247,0.0411899921565569,0.104250176704548,0.285909301943861,0.0917283686007148,-0.386890033728784,-0.15946415931233,1,-0.0354271785718706
"section_4_d",-0.024944016709606,0.0620638046205054,-0.000203632085088894,0.0752951709215453,0.0516088772240228,-0.0239475150709563,-0.15507575306631,-0.145204185639816,-0.067832332608867,0.0494882048855385,0.101585110920952,0.0280207702669393,-0.099199101635532,-0.00557091723728098,0.0632108380136306,0.122817662357267,-0.106531209302622,-0.15507575306631,-0.659681839993235,-0.35202776804012,-0.0354271785718706,1
