"","assay_date","study_site","session","assay_id","temp","quoll_code","initial_repeat_assay","assay_number","trap_location","arena","snout","haunches","time_to_emerge_s","emerge_max","arena_entry","bait_eaten_g","obs_id","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d","sumsect_o","totalact_o","trap_session_date","trap_session_morning","moon_phase","first_light","ssr","process_start","process_end","stress_in_trap","stress_in_bag","stress_on_table","condition","body_weight_kg","pouch","teeth_colour","teeth_sharpness","teeth_shine","age_estimate","pes_mean_mm","head_length_mm","sex","morph","cond_n","age_n","time_processtoassay","time_assaytolight"
"23",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_5",23,"84B2F","Initial assay","1","W57","Quollympia",2024-01-26 00:32:27,"2024-01-26 00:32:27",0,0,"E",2,"MulligansA_5_84B2F",26,0,158,107,169,59,0,19,37,38,20,15.239,0,297.937,228.685,144.252,263.361,0,326.461,162.883,386.042,324.501,114,519,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-25 22:53:00",2024-01-25 22:55:39,1,1,1,"Excellent",0.91,"1 (adult)","White","Blunt","Shiny","1-2yrs",54.9,81.4,"F","Black",4,1,96.8,313.55
"24",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_6",23,"61888","Initial assay","1","W62","Aquollpolis",2024-01-26 00:35:17,"2024-01-26 00:35:17",0,0,"E",1,"MulligansA_6_61888",18,2,81,75,116,11,0,11,21,23,12,10.36,63,71.91,114.997,97.842,86.956,0,667.75,141.699,240.218,148.468,67,303,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-25 23:12:00",2024-01-25 23:14:14,1,1,1,"Excellent",1.09,"1 (adult)","White","Blunt","Dull","2-3yrs",56.2,87.9,"F","Black",4,2,81.05,310.716666666667
"25",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_7",23,"5597A","Initial assay","1","W19","Aquollpolis",2024-01-26 01:26:53,"2024-01-26 01:26:53",0,0,"E",12,"MulligansA_7_5597A",9,0,40,51,83,8,0,3,4,8,6,6.68,0,89.717,85.018,68.788,507.394,0,325.318,29.116,64.912,780.634,21,191,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-25 23:35:00",2024-01-25 23:43:47,1,1,1,"Good",0.33,"0 (immature)","White","Sharp","Shiny","<1yr",43.9,77.3,"F","Black",3,0,103.1,259.116666666667
"26",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_8",23,"53512","Initial assay","1","W63","Quollosseum",2024-01-26 01:31:48,"2024-01-26 01:31:48",0,0,"P",1,"MulligansA_8_53512",31,0,64,43,112,25,0,15,31,27,11,118.786,0,179.776,43.891,129.8,609.229,0,360.065,181.289,225.693,432.87,84,275,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-25 23:24:00",2024-01-25 23:27:11,1,1,1,"Good",0.92,"3","White","Blunt","Dull","1-2yrs",54,86.8,"F","Black",3,1,124.616666666667,254.2
"27",2024-02-20,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_1",15,"563A6","Initial assay","1","W71","Quollosseum",2024-02-20 23:31:39,"2024-02-20 23:31:42",2.99999999999088,2.99999999999088,"E",6,"MulligansB_1_563A6",20,7,2,10,38,0,0,1,2,2,1,35.12,21.4,15.64,53.559,34,0,0,48.479,21.678,190.358,939.48,6,77,2024-02-20,2024-02-21,86,2024-02-21 06:15:00,"Yes","2024-02-20 22:15:00",2024-02-20 22:17:40,1,1,1,"Excellent",0.575,"1 (adult)","WHITE","SHARP","SHINY","1-2yrs",51.25,80.6,"F","Black",4,1,73.9833333333333,403.35
"28",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_14",15,"56EB2","Initial assay","1","W62","Quollympia",2024-02-21 03:22:44,"2024-02-21 03:22:48",3.99999999999983,3.99999999999983,"E",9,"MulligansB_14_56EB2",15,1,58,64,99,34,0,17,29,18,5,191.119,50.36,229.561,140.474,72.825,330.293,0,483.263,484.171,168.263,64.235,69,271,2024-02-20,2024-02-21,86,2024-02-21 06:15:00,"Yes","2024-02-21 00:15:00",2024-02-21 00:23:03,1,1,1,"Good",0.55,"1 (adult)","WHITE","SHARP","SHINY","1-2yrs",51.6,80.8,"F","Black",3,1,179.683333333333,172.266666666667
"29",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_15",15,"86E19","Initial assay","1","W63","Aquollpolis",2024-02-21 03:25:15,"2024-02-21 03:25:33",18.0000000000004,18.0000000000004,"E",13,"MulligansB_15_86E19",13,3,33,92,107,7,0,12,19,17,9,79.039,76.96,230.594,243.158,91.896,115.877,0,544.828,298.181,198.744,158.191,57,255,2024-02-20,2024-02-21,86,2024-02-21 06:15:00,"No","2024-02-20 23:36:00",2024-02-20 23:48:50,1,1,1,"Good",0.65,"1 (adult)","WHITE","SHARP","SHINY","1-2yrs",50.8,79.5,"F","Black",3,1,216.416666666667,169.75
"30",2024-02-20,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_2",15,"53511","Initial assay","1","W71","Quollympia",2024-02-20 23:34:14,"2024-02-20 23:34:32",18.0000000000028,18.0000000000028,"E",0,"MulligansB_2_53511",13,5,21,28,53,8,0,1,3,7,5,4.48,107.92,87.552,91.073,33.075,270.837,0,82.519,192.917,296.233,628.316,16,128,2024-02-20,2024-02-21,86,2024-02-21 06:15:00,"No","2024-02-20 22:22:00",2024-02-20 22:25:05,1,2,2,"Good",1.12,"1 (adult)","DISCOLOURED","BLUNT","SHINY","2-3yrs",54.4,88.2,"F","Black",3,2,69.15,400.766666666667
"31",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_20",13,"56ABE","Initial assay","1","W22","Quollympia",2024-02-21 05:13:35,"2024-02-21 05:14:16",41,41,"E",10,"MulligansB_20_56ABE",18,1,4,56,90,0,0,5,8,9,5,75.72,50.4,17,141.46,100.38,0,0,725.276,71.112,178.111,225.475,27,169,2024-02-20,2024-02-21,86,2024-02-21 06:15:00,"No","2024-02-21 02:14:00",2024-02-21 02:19:35,1,1,1,"Good",0.93,NA,"WHITE","SHARP","SHINY","1-2yrs",51.85,85.8,"M","Fawn",3,1,174,61.4166666666667
"32",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_21",13,"71B69","Initial assay","1","W55","Aquollpolis",2024-02-21 05:16:50,"2024-02-21 05:17:04",14.0000000000006,14.0000000000006,"E",10,"MulligansB_21_71B69",25,7,59,91,137,24,0,14,24,21,11,69.159,98.92,199.896,156.306,104.373,163.712,0,632.146,167.856,172.379,227.55,70,343,2024-02-20,2024-02-21,86,2024-02-21 06:15:00,"No","2024-02-21 01:15:00",2024-02-21 01:22:55,2,2,3,"Good",0.64,"0 (immature)","WHITE","SHARP","SHINY","<1yr",50.8,82.9,"F","Black",3,0,233.916666666667,58.1666666666667
"33",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_22",13,"71A4D","Initial assay","1","W81","Quollosseum",2024-02-21 05:19:25,"2024-02-21 05:20:40",74.9999999999997,60,"P",11,"MulligansB_22_71A4D",8,0,19,51,58,6,0,2,5,7,4,40,0,80.433,186.542,48.906,136.558,0,105.278,72.115,68.193,954.397,18,142,2024-02-20,2024-02-21,86,2024-02-21 06:15:00,"No","2024-02-21 00:37:00",2024-02-21 00:37:00,1,1,1,"Good",1.225,NA,"WHITE","SHARP","SHINY","1-2yrs",55.95,88.1,"M","Black",3,1,282.416666666667,55.5833333333333
"34",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_7",15,"53515","Initial assay","1","W81","Quollosseum",2024-02-21 01:49:14,"2024-02-21 01:49:14",0,0,"E",2,"MulligansB_7_53515",18,0,63,82,116,13,0,10,19,17,8,9.56,0,244.144,93.673,65.019,55.711,0,241.63,698.942,87.143,172.232,54,292,2024-02-20,2024-02-21,86,2024-02-21 06:15:00,"No","2024-02-20 22:54:00",2024-02-20 22:59:00,1,1,1,"Good",0.75,"0 (immature)","WHITE","SHARP","SHINY","<1yr",51.35,79.7,"F","Black",3,0,170.233333333333,265.766666666667
"35",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_8",15,"524E3","Initial assay","1","W25","Quollympia",2024-02-21 01:54:27,"2024-02-21 01:54:36",9.00000000000021,9.00000000000021,"E",9,"MulligansB_8_524E3",9,1,33,87,80,10,0,8,15,12,5,3.12,1.2,266.191,287.68,55.826,37.553,0,357.272,681.146,96.028,65.515,40,220,2024-02-20,2024-02-21,86,2024-02-21 06:15:00,"No","2024-02-21 00:20:00",2024-02-21 00:25:11,1,1,1,"Fair",1.095,NA,"WHITE","SHARP","SHINY","1-2yrs",53.05,91,"M","Black",2,1,89.2666666666667,260.55
"36",2024-02-21,"Mulligans Flat","MFBehavAssaysSUMB","MulligansB_9",15,"53221","Initial assay","1","W25","Aquollpolis",2024-02-21 01:57:22,"2024-02-21 01:57:22",0,0,"E",20,"MulligansB_9_53221",13,5,30,57,113,0,0,8,19,24,13,27.4,70,45.76,90.019,75.865,0,0,75.952,795.302,177.536,150.947,64,218,2024-02-20,2024-02-21,86,2024-02-21 06:15:00,"No","2024-02-21 00:02:00",2024-02-21 00:17:12,1,1,1,"Good",1.705,NA,"DISCOLOURED","BLUNT","DULL","2-3yrs",58.3,102.8,"M","Black",3,2,100.166666666667,257.633333333333
