"","study_site","session","assay_id","temp","quoll_code","assay_number","arena","obs_id","section_1_o","section_2_o","section_3_o","section_4_o","section_1_d","section_2_d","section_3_d","section_4_d","moon_phase","stress_in_trap","stress_in_bag","stress_on_table","condition","body_weight_kg","age_estimate","pes_mean_mm","head_length_mm","sex","morph","cond_n","age_n","time_processtoassay","time_assaytolight","foodo_p","foodd_p","groomo_p","groomd_p","jumpo_p","jumpd_p","legsd_p","legso_p","moved_p","moveo_p","perchd_p","percho_p","bait_p","sumsecto_p","totalacto_p","trapstress_p","bagstress_p","tablestress_p","emerge_p"
"21","Mulligans Flat","MFBehavAssaysSUMA","MulligansA_5",1.33292454272149,"84B2F","1","Quollympia","MulligansA_5_84B2F",19,37,38,20,326.461,162.883,386.042,324.501,0.989449486442881,1,1,1,"Excellent",0.91,"1-2yrs",54.9,81.4,"F","Black","4","1",-0.412988669140652,1.02943692581558,20.3274993203003,73.2761024678176,0.611610937830999,12.939964576333,68.3652133002209,145.721115706015,131.847640796001,64.2548101853739,68.9886656967882,96.5648137673516,246.858984497442,26.4591082487258,15.2604481023628,59.8443134602974,276.583055759803,0.999999999999999,1.04241373471255,0.908413984172967,14.2740646754961
"22","Mulligans Flat","MFBehavAssaysSUMA","MulligansA_6",1.33292454272149,"61888","1","Aquollpolis","MulligansA_6_61888",11,21,23,12,667.75,141.699,240.218,148.468,0.989449486442881,1,1,1,"Excellent",1.09,"2-3yrs",56.2,87.9,"F","Black","4","2",-0.668472629622172,1.00623332629908,22.575344860249,80.8256665987639,0.532881948773529,12.1738242455585,71.8609046461696,153.017046078294,138.858139360481,71.3883554861953,79.2541414587229,106.013110766623,250.866552596793,27.3448055140373,16.1128258994958,63.5807079448563,299.715403222048,0.999999999999999,1.05671053313605,0.945723750152573,12.9138362431861
"23","Mulligans Flat","MFBehavAssaysSUMA","MulligansA_7",1.33292454272149,"5597A","1","Aquollpolis","MulligansA_7_5597A",3,4,8,6,325.318,29.116,64.912,780.634,0.989449486442881,1,1,1,"Good",0.33,"<1yr",43.9,77.3,"F","Black","3","0",-0.310795084948045,0.583654831575135,22.6263473447891,71.5334099721062,0.677484364914011,14.1360388015488,72.0520615633487,160.558961265666,135.147848572918,73.1398769033573,84.116290276279,108.649445703548,229.013866109418,26.402727320618,14.4220922659109,62.3584115444303,303.547943200575,0.999999999999999,1.04332414026225,0.969118590042953,10.7513350863458
"24","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_10",-0.507458582254373,"56861","2","Quollosseum","MulligansB_10_56861",19,36,31,14,295.901,160.524,143.289,600.187,0.418608078278702,1,2,1,"Good",0.56,"1-2yrs",49.9,81.7,"F","Black","3","1",-0.619809018101882,0.263854633533079,20.0515386327935,89.6896135318899,0.672558611733519,13.9838851207471,45.6171800669538,108.630428984706,163.163255837177,77.6341257199168,106.434180740347,111.002528163963,105.511853879916,18.0204744331165,15.6161926917403,52.8810336029232,272.998405628478,0.999999999999999,1.20277082610563,1.14984976873233,35.7640072606467
"25","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_11",-0.507458582254373,"525C8","2","Quollympia","MulligansB_11_525C8",1,1,3,2,283.479,29.839,738.718,147.958,0.418608078278702,1,1,1,"Good",1.07,"1-2yrs",53.25,84.7,"M","Fawn","3","1",-0.60764311522181,0.24037805049286,20.1172464473915,89.3990983604377,0.678164841003371,14.0684231772811,45.7254056654328,109.242154975402,163.159169023492,77.9285198357444,106.984316308976,111.409544467669,104.443655794304,17.9943901566906,15.5487345802541,52.9196486987457,273.853271413932,0.999999999999999,1.2024481167118,1.15215839662958,35.6090994524192
"26","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_12",-0.507458582254373,"61888","2","Aquollpolis","MulligansB_12_61888",7,14,18,11,139.833,85.466,127.822,846.83,0.418608078278702,1,1,1,"Good",1.095,"2-3yrs",55.6,91.1,"F","Black","3","2",0.342378723013174,0.20898494526466,12.585567159634,61.6561616770897,0.97981093627647,17.1473789527039,34.0415889444575,86.7037315151792,138.669055585973,54.4377863242156,73.7856792071832,80.3781793717449,85.3413529783037,14.7779427240036,12.2505267150421,40.0624058660955,197.200875460332,0.999999999999999,1.15099945050165,1.03297832405432,39.6154837490524
"27","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_13",-0.507458582254373,"84B2F","2","Quollosseum","MulligansB_13_84B2F",17,21,9,4,817.464,197.379,53.231,131.876,0.418608078278702,1,1,1,"Good",0.825,"1-2yrs",52.7,84.7,"F","Black","3","1",0.423755095610991,-0.0966201095437748,14.0691836765414,60.1299066703899,1.0285356375662,18.0032942834419,36.4257303554835,96.5926913389867,140.634735260211,60.2394307117916,83.7450853406537,88.2800563178186,72.8934462372317,14.7007280229327,11.6369102134464,41.6294761349819,214.743664722134,0.999999999999999,1.15100521319631,1.07311228395809,37.2515542442393
"28","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_16",-0.737506472876356,"5597A","2","Quollosseum","MulligansB_16_5597A",4,6,8,5,805.637,80.034,111.232,203.075,0.418608078278702,1,1,1,"Good",0.66,"<1yr",46.9,75.9,"F","Black","3","0",-0.548976428000128,-0.501727658749418,24.3135011915945,94.1453805459078,0.7850879118121,16.1862459156545,50.0594800988462,129.356866718077,169.300102663238,95.4185302543812,137.608001988576,135.137254560411,59.5965766100123,17.5745599436025,15.1727695351331,57.8209093192759,323.288413960648,0.999999999999998,1.23305052616903,1.27873470472478,33.0949614402861
"29","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_17",-0.737506472876356,"67D6E","2","Quollympia","MulligansB_17_67D6E",2,2,1,1,1023.318,49.558,19.319,107.8,0.418608078278702,1,1,1,"Good",1.16,"2-3yrs",52.25,94.5,"F","Black","3","2",2.53981113655158,-0.539262893261396,-0.62760792630198,3.76419869305856,1.76094831952184,26.0706383309353,11.3509920121958,53.5601187367245,88.810206171613,17.3789297770942,26.9423702349097,31.9959126478137,-0.207078869650125,7.0747419188651,4.51990727728503,15.4499377464899,68.9339167491887,0.999999999999999,1.0648364000428,0.880521968581121,46.6975568236198
"30","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_18",-0.737506472876356,"53326","2","Aquollpolis","MulligansB_18_53326",11,21,23,12,614.79,157.5,180.057,247.508,0.418608078278702,1,1,1,"Good",1.19,"1-2yrs",52.55,96.9,"F","Black","3","1",2.42707376986291,-0.577344094820821,0.559960915241675,7.1737324986113,1.72831117466273,25.7869932138922,13.2046583758835,57.8659714686233,92.2772137153926,21.2449439150896,32.6489976197553,37.1357652865429,0.567600182422183,7.48379970297661,4.86560317894739,17.3439575461865,81.3574393703971,0.999999999999999,1.07155073577364,0.901612822471532,45.8485087262013
"31","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_3",-0.507458582254373,"53527","2","Aquollpolis","MulligansB_3_53527",3,6,9,6,166.397,67.954,146.431,819.195,0.418608078278702,1,1,1,"Good",0.9,"1-2yrs",56.25,88.2,"F","Black","3","1",-1.04669703249375,1.72254209254949,13.2839843768537,98.1015681349382,0.42787154571318,9.77631298305044,34.7247235929187,62.391559921602,154.789579360642,50.9262267824055,60.2948569126354,74.5868503215803,165.655260271437,18.5201052375739,18.6772189865851,45.9330586725673,192.469761857045,0.999999999999999,1.20484515779282,0.963323087616977,46.87371817481
"32","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_4",-0.507458582254373,"5CB85","2","Quollosseum","MulligansB_4_5CB85",6,8,6,3,971.595,53.672,57.154,117.557,0.418608078278702,1,1,1,"Good",0.94,"1-2yrs",51.9,91.3,"F","Black","3","1",-0.500312816479838,1.33395004652912,11.5562751776698,83.1857367082448,0.629352199232419,12.2714813221854,32.1456124761643,63.8871392797214,145.675161740187,46.9741469810951,56.8625866844777,69.6571159878843,141.443813395128,16.9128004837318,16.3753136589221,41.8025588859852,177.875303305778,0.999999999999999,1.18065337317672,0.956360050468025,45.8664797569329
"33","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_5",-0.507458582254373,"71872","2","Quollympia","MulligansB_5_71872",4,13,27,17,217.996,222.667,327.054,432.223,0.418608078278702,1,2,1,"Good",0.6,"1-2yrs",50.35,80.2,"F","Black","3","1",-0.35432198191897,1.29982710606368,10.6047728400052,79.0046777623369,0.677920099160359,12.8019046411061,30.6775480952444,61.5668496913717,142.30476584708,44.1200702832351,52.9992644378243,65.909875929009,137.462614934965,16.4377055037158,15.8364498417,40.0848657219332,168.42789275037,0.999999999999999,1.17317401203941,0.942914778623489,46.2203074814786
"34","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_6",-0.507458582254373,"88B4C","2","Aquollpolis","MulligansB_6_88B4C",1,0,0,0,1200,0,0,0,0.418608078278702,1,1,1,"Good",1.365,"1-2yrs",56.65,92.6,"F","Black","3","1",-0.0707212681146167,1.26324731388474,8.54762246590711,70.7992105994821,0.770023248112726,13.7742255473365,27.4937330973765,55.9003217837667,135.358955574899,37.8094574460611,44.2387931232889,57.5948944221217,130.789074553504,15.4953423212218,14.8221282523937,36.486397084703,147.711073000801,0.999999999999999,1.15821190201972,0.911858958867456,47.1731383160649
