	POLY_CODE	PLOT_ID	POLY_NUM	PLOT_NUM	SURVEY_PT_	ID	X	Y	POINT_X	POINT_Y
50	MF	MF22A/3	22A	3	a	MF22A/3a	697856.56790000000	6106478.37999999000	149.17245009123	-35.16517570848
146	MF	MF22A/3	22A	3	b	MF22A/3b	697932.60549999900	6106543.32799999000	149.17326886789	-35.16457551011
51	MF	MF22A/4	22A	4	a	MF22A/4a	698006.90879999900	6106458.08899999000	149.17410463404	-35.16532893615
147	MF	MF22A/4	22A	4	b	MF22A/4b	697923.55310000000	6106402.84499999000	149.17320322782	-35.16584314166
96	MF	MF22AZ/1	22AZ	1	a	MF22AZ/1a	698244.02639999900	6106148.31800000000	149.17678091503	-35.16807343562
192	MF	MF22AZ/1	22AZ	1	b	MF22AZ/1b	698168.76540000000	6106214.16500000000	149.17593924350	-35.16749495408
93	MF	MF22AZ/2	22AZ	2	a	MF22AZ/2a	698174.19209999900	6106348.62299999000	149.17596650288	-35.16628232711
189	MF	MF22AZ/2	22AZ	2	b	MF22AZ/2b	698230.21560000000	6106431.45700000000	149.17656135348	-35.16552488854
94	MF	MF22AZ/3	22AZ	3	a	MF22AZ/3a	698249.25320000000	6106295.34200000000	149.17680294937	-35.16674762042
190	MF	MF22AZ/3	22AZ	3	b	MF22AZ/3b	698307.02390000000	6106376.96700000000	149.17741725763	-35.16600072709
95	MF	MF22AZ/4	22AZ	4	a	MF22AZ/4a	698377.91390000000	6106323.82699999000	149.17820790537	-35.16646556305
191	MF	MF22AZ/4	22AZ	4	b	MF22AZ/4b	698324.81400000000	6106239.08999999000	149.17764560251	-35.16723957963
60	MF	MF25A/1	25	1	a	MF25A/1a	698483.80810000000	6106137.52400000000	149.17941469488	-35.16812336587
156	MF	MF25A/1	25	1	b	MF25A/1b	698571.49300000000	6106089.44699999000	149.18038845165	-35.16853924803
57	MF	MF25A/2	25	2	a	MF25A/2a	698593.80420000000	6106307.65900000000	149.18058076486	-35.16656860873
153	MF	MF25A/2	25	2	b	MF25A/2b	698530.10389999900	6106230.57299999000	149.17990032415	-35.16727578924
58	MF	MF25A/3	25	3	a	MF25A/3a	698609.63289999900	6106182.56500000000	149.18078456009	-35.16769265800
154	MF	MF25A/3	25	3	b	MF25A/3b	698670.22569999900	6106262.11699999000	149.18143030364	-35.16696386679
59	MF	MF25A/4	25	4	a	MF25A/4a	698700.26969999900	6106132.87200000000	149.18179109897	-35.16812250662
155	MF	MF25A/4	25	4	b	MF25A/4b	698747.61899999900	6106220.95199999000	149.18228945995	-35.16731948685
54	MF	MF27A/1	27	1	a	MF27A/1a	698837.00269999900	6106182.36799999000	149.18327957416	-35.16764947175
150	MF	MF27A/1	27	1	b	MF27A/1b	698814.36259999900	6106084.96499999000	149.18305460813	-35.16853161314
53	MF	MF27A/2	27	2	a	MF27A/2a	699022.90070000000	6106417.55999999000	149.18526273983	-35.16549344834
149	MF	MF27A/2	27	2	b	MF27A/2b	698923.82759999900	6106403.97599999000	149.18417889922	-35.16563546298
55	MF	MF27A/3	27	3	a	MF27A/3a	698946.63009999900	6106277.65900000000	149.18445955917	-35.16676914410
151	MF	MF27A/3	27	3	b	MF27A/3b	698926.34499999900	6106179.73799999000	149.18426057456	-35.16765548860
56	MF	MF27A/4	27	4	a	MF27A/4a	699041.18720000000	6106224.63399999000	149.18550992553	-35.16722820886
152	MF	MF27A/4	27	4	b	MF27A/4b	699009.13159999900	6106129.91100000000	149.18518102024	-35.16808806971
61	MF	MF32/1	32	1	a	MF32/1a	697039.80859999900	6105947.02699999000	149.16361471147	-35.17012405501
157	MF	MF32/1	32	1	b	MF32/1b	697083.57499999900	6106036.94099999000	149.16407351143	-35.16930528043
64	MF	MF32/2	32	2	a	MF32/2a	697160.34219999900	6105974.79700000000	149.16493076623	-35.16985018443
160	MF	MF32/2	32	2	b	MF32/2b	697112.56169999900	6105886.95000000000	149.16442742895	-35.17065112424
63	MF	MF32/3	32	3	a	MF32/3a	697234.18579999900	6105925.68099999000	149.16575283553	-35.17027826401
159	MF	MF32/3	32	3	b	MF32/3b	697178.62860000000	6105842.53400000000	149.16516304133	-35.17103838264
62	MF	MF32/4	32	4	a	MF32/4a	697277.32440000000	6106035.16500000000	149.16620004634	-35.16928326542
158	MF	MF32/4	32	4	b	MF32/4b	697375.86739999900	6106018.15699999000	149.16728547563	-35.16941716905
70	MF	MF34/1	34	1	a	MF34/1a	696492.45510000000	6105446.65199999000	149.15772741487	-35.17474000145
166	MF	MF34/1	34	1	b	MF34/1b	696570.55870000000	6105384.20299999000	149.15859942755	-35.17528743622
72	MF	MF34/2	34	2	a	MF34/2a	696654.73040000000	6105273.64300000000	149.15954951575	-35.17626719292
168	MF	MF34/2	34	2	b	MF34/2b	696754.72930000000	6105273.17300000000	149.16064706377	-35.17625184819
71	MF	MF34/3	34	3	a	MF34/3a	696845.80709999900	6105353.95799999000	149.16162731605	-35.17550607358
167	MF	MF34/3	34	3	b	MF34/3b	696913.70059999900	6105280.53799999000	149.16238993080	-35.17615433707
69	MF	MF34/4	34	4	a	MF34/4a	697002.37740000000	6105123.16199999000	149.16340069688	-35.17755502480
165	MF	MF34/4	34	4	b	MF34/4b	697032.21710000000	6105218.60699999000	149.16370537680	-35.17668914357
76	MF	MF37/1	37	1	a	MF37/1a	696168.09279999900	6105536.75600000000	149.15414633574	-35.17399147904
172	MF	MF37/1	37	1	b	MF37/1b	696160.80449999900	6105437.02199999000	149.15409006817	-35.17489158426
74	MF	MF37/2	37	2	a	MF37/2a	696320.59530000000	6105545.50299999000	149.15581784865	-35.17388287410
170	MF	MF37/2	37	2	b	MF37/2b	696238.54469999900	6105602.66700000000	149.15490381137	-35.17338381088
73	MF	MF37/3	37	3	a	MF37/3a	696204.29960000000	6105717.80499999000	149.15450061839	-35.17235301450
169	MF	MF37/3	37	3	b	MF37/3b	696222.86210000000	6105816.06699999000	149.15468095290	-35.17146397123
75	MF	MF37/4	37	4	a	MF37/4a	696249.97140000000	6106045.00399999000	149.15492399386	-35.16939577321
171	MF	MF37/4	37	4	b	MF37/4b	696269.93440000000	6105947.01700000000	149.15516636779	-35.17027481467
67	MF	MF38/1	38	1	a	MF38/1a	696382.63980000000	6105871.94900000000	149.15642103093	-35.17092921568
163	MF	MF38/1	38	1	b	MF38/1b	696343.40549999900	6105779.96700000000	149.15601237135	-35.17176571284
65	MF	MF38/2	38	2	a	MF38/2a	696504.49540000000	6106041.02500000000	149.15771798138	-35.16938188684
161	MF	MF38/2	38	2	b	MF38/2b	696600.18980000000	6106070.05200000000	149.15876117436	-35.16910161349
66	MF	MF38/3	38	3	a	MF38/3a	696557.11280000000	6105930.33800000000	149.15832174966	-35.17036897143
162	MF	MF38/3	38	3	b	MF38/3b	696650.95200000000	6105964.89499999000	149.15934327643	-35.17003922607
68	MF	MF38/4	38	4	a	MF38/4a	696834.37170000000	6106051.07500000000	149.16133549993	-35.16922676698
164	MF	MF38/4	38	4	b	MF38/4b	696933.82350000000	6106061.53100000000	149.16242434085	-35.16911306524
84	MF	MF9A/1	9A	1	a	MF9A/1a	695813.94499999900	6106595.84700000000	149.15000850066	-35.16451728383
180	MF	MF9A/1	9A	1	b	MF9A/1b	695885.72300000000	6106665.47400000000	149.15077959350	-35.16387590004
83	MF	MF9A/2	9A	2	a	MF9A/2a	696038.32220000000	6106815.97200000000	149.15241830069	-35.16249003748
179	MF	MF9A/2	9A	2	b	MF9A/2b	696094.32750000000	6106898.81800000000	149.15301314770	-35.16173260275
82	MF	MF9A/3	9A	3	a	MF9A/3a	696208.98340000000	6107089.44300000000	149.15422590836	-35.15999254255
178	MF	MF9A/3	9A	3	b	MF9A/3b	696154.98679999900	6107005.27400000000	149.15365343946	-35.16076151191
81	MF	MF9A/4	9A	4	a	MF9A/4a	696351.48239999900	6107193.04000000000	149.15576481418	-35.15903122596
177	MF	MF9A/4	9A	4	b	MF9A/4b	696299.59349999900	6107107.55599999000	149.15521580544	-35.15981163958
46	WG	WG108/1	108	1	a	WG108/1a	697774.68649999900	6102229.25299999000	149.17257082181	-35.20347930100
142	WG	WG108/1	108	1	b	WG108/1b	697678.78119999900	6102257.57600000000	149.17151117143	-35.20324298725
47	WG	WG108/2	108	2	a	WG108/2a	697692.38650000000	6102318.67899999000	149.17164586707	-35.20268973004
143	WG	WG108/2	108	2	b	WG108/2b	697787.85490000000	6102288.91700000000	149.17270105972	-35.20293909529
48	WG	WG108/3	108	3	a	WG108/3a	697897.84340000000	6102347.03899999000	149.17389454766	-35.20239369786
