x,y,point_ID
697910.3613823270,6104225.9836333000,b
699293.4652303830,6102639.1068483100,b
699387.0727855620,6102819.2918370700,b
699450.5050586860,6102767.4484217000,b
699225.9218900180,6102665.0480559300,b
699408.2158106990,6101808.9891473000,b
699446.8159744180,6102209.7413968600,b
699472.3794438690,6102139.2195028000,b
699500.4164720240,6102063.7960795100,b
698967.2985590930,6101871.2226111200,b
699157.0005941340,6102283.6882738300,b
698842.2242610060,6101944.2360422300,b
698915.4216784410,6102120.1710695400,b
698272.4552331780,6102262.3896395900,b
698244.9072969340,6102075.7189304500,b
698063.9208153160,6102169.7624583800,b
698119.1674949520,6102235.0142825300,b
698951.4779345680,6103940.3807121300,b
698785.5342590510,6103969.9805646700,b
698872.8886173530,6103951.4670825200,b
698778.3294099820,6103486.4192837600,b
698254.0865341080,6104154.9137101800,b
698301.2347934400,6104346.6299044900,b
698368.4491186050,6104151.7286819100,b
698189.2636866150,6104185.3399315000,b
699171.1339055510,6102883.0743084100,b
699122.6829386800,6103042.7064078900,b
699249.3710098950,6102989.5566038100,b
699210.5636177910,6102931.6277851600,b
699759.3004610140,6103455.8653927000,b
699715.4902633780,6103523.0407886200,b
699714.0323692770,6103648.8223658600,b
699928.1851693950,6103803.0774382300,b
699529.8560305560,6103534.3368525900,b
699599.9050179590,6103396.1072300400,b
699184.9823313300,6103291.0891907300,b
699312.5464206930,6103381.8594005200,b
697982.8617370200,6102292.2737104500,b
697678.7812322320,6102257.5758165100,b
697787.8549039450,6102288.9168143800,b
697877.7404040740,6102249.0806037400,b
