x,y,point_ID,Poly_code,Plot_ID,Poly_num,Plot_num
699445.44240900000,6101901.80176000000,a,WG,WG147/1,147,1
699408.21581099900,6101808.98914999000,b,WG,WG147/1,147,1
699542.33528799900,6102239.33971999000,a,WG,WG147/2,147,2
699446.81597400000,6102209.74139999000,b,WG,WG147/2,147,2
699567.43052199900,6102170.28866000000,a,WG,WG147/3,147,3
699472.37944399900,6102139.21949999000,b,WG,WG147/3,147,3
699595.54967199900,6102094.61285999000,a,WG,WG147/4,147,4
699500.41647199900,6102063.79607999000,b,WG,WG147/4,147,4
698917.79740899900,6101958.11125000000,a,WG,WG141A/2,141A,2
698967.29855900000,6101871.22260999000,b,WG,WG141A/2,141A,2
699239.23581999900,6102340.58614000000,a,WG,WG141A/4,141A,4
699157.00059399900,6102283.68826999000,b,WG,WG141A/4,141A,4
698887.41968599900,6101855.03192999000,a,WG,WG141A/1,141A,1
698842.22426100000,6101944.23603999000,b,WG,WG141A/1,141A,1
698907.25003300000,6102219.83662999000,a,WG,WG141A/3,141A,3
698915.42167800000,6102120.17107000000,b,WG,WG141A/3,141A,3
698180.56759100000,6102301.84418000000,a,WG,WG109/3,109,3
698272.45523299900,6102262.38963999000,b,WG,WG109/3,109,3
698307.95492100000,6102153.33978999000,a,WG,WG109/4,109,4
698244.90729700000,6102075.71893000000,b,WG,WG109/4,109,4
698153.76629399900,6102125.85584999000,a,WG,WG109/1,109,1
698063.92081499900,6102169.76245999000,b,WG,WG109/1,109,1
698210.24465100000,6102193.72322000000,a,WG,WG109/2,109,2
698119.16749499900,6102235.01427999000,b,WG,WG109/2,109,2
698975.02660099900,6104037.56847000000,a,WG,WG150A/4,150A,4
698951.47793499900,6103940.38071000000,b,WG,WG150A/4,150A,4
698788.49351399900,6104069.93676999000,a,WG,WG150A/2,150A,2
698785.53425899900,6103969.98056000000,b,WG,WG150A/2,150A,2
698892.11821099900,6104049.60078000000,a,WG,WG150A/3,150A,3
698872.88861699900,6103951.46707999000,b,WG,WG150A/3,150A,3
698813.90430599900,6103579.87744000000,a,WG,WG150A/1,150A,1
698778.32941000000,6103486.41928000000,b,WG,WG150A/1,150A,1
698235.42420000000,6104056.67056000000,a,WG,WG78/2,78,2
698254.08653400000,6104154.91371000000,b,WG,WG78/2,78,2
698321.08143499900,6104248.61914000000,a,WG,WG78/3,78,3
698301.23479300000,6104346.62990000000,b,WG,WG78/3,78,3
698333.45329700000,6104058.05214999000,a,WG,WG78/4,78,4
698368.44911900000,6104151.72867999000,b,WG,WG78/4,78,4
698172.16683500000,6104086.81228000000,a,WG,WG78/1,78,1
698189.26368700000,6104185.33992999000,b,WG,WG78/1,78,1
699075.43183799900,6102912.07627999000,a,GO,GO93Z/2,93,2
699171.13390599900,6102883.07431000000,b,GO,GO93Z/2,93,2
699052.83576799900,6103114.27017000000,a,GO,GO93Z/1,93,1
699122.68293899900,6103042.70641000000,b,GO,GO93Z/1,93,1
699346.09365800000,6102964.16507999000,a,GO,GO93Z/4,93,4
699249.37101000000,6102989.55659999000,b,GO,GO93Z/4,93,4
699114.97759400000,6102961.00996000000,a,GO,GO93Z/2,93,2
